ciudad,municipio,fecha_prevista,elaborado,tmax,tmin
madrid,28079,2026-08-11,2026-08-11T10:35:10,36,22
madrid,28079,2026-08-12,2026-08-11T10:35:10,38,23
madrid,28079,2026-08-13,2026-08-11T10:35:10,38,24
madrid,28079,2026-08-14,2026-08-11T10:35:10,38,24
madrid,28079,2026-08-15,2026-08-11T10:35:10,35,22
madrid,28079,2026-08-16,2026-08-11T10:35:10,31,21
madrid,28079,2026-08-17,2026-08-11T10:35:10,32,19
barcelona,08019,2026-08-11,2026-08-11T10:35:10,32,26
barcelona,08019,2026-08-12,2026-08-11T10:35:10,32,26
barcelona,08019,2026-08-13,2026-08-11T10:35:10,33,25
barcelona,08019,2026-08-14,2026-08-11T10:35:10,34,26
barcelona,08019,2026-08-15,2026-08-11T10:35:10,32,26
barcelona,08019,2026-08-16,2026-08-11T10:35:10,32,27
barcelona,08019,2026-08-17,2026-08-11T10:35:10,33,25
valencia,46250,2026-08-11,2026-08-11T10:35:10,33,25
valencia,46250,2026-08-12,2026-08-11T10:35:10,33,25
valencia,46250,2026-08-13,2026-08-11T10:35:10,33,24
valencia,46250,2026-08-14,2026-08-11T10:35:10,33,24
valencia,46250,2026-08-15,2026-08-11T10:35:10,32,25
valencia,46250,2026-08-16,2026-08-11T10:35:10,31,24
valencia,46250,2026-08-17,2026-08-11T10:35:10,32,22
sevilla,41091,2026-08-11,2026-08-11T10:35:10,38,19
sevilla,41091,2026-08-12,2026-08-11T10:35:10,40,21
sevilla,41091,2026-08-13,2026-08-11T10:35:10,40,23
sevilla,41091,2026-08-14,2026-08-11T10:35:10,39,23
sevilla,41091,2026-08-15,2026-08-11T10:35:10,35,21
sevilla,41091,2026-08-16,2026-08-11T10:35:10,33,19
sevilla,41091,2026-08-17,2026-08-11T10:35:10,36,22
bilbao,48020,2026-08-11,2026-08-11T10:35:10,32,19
bilbao,48020,2026-08-12,2026-08-11T10:35:10,35,19
bilbao,48020,2026-08-13,2026-08-11T10:35:10,32,19
bilbao,48020,2026-08-14,2026-08-11T10:35:10,30,19
bilbao,48020,2026-08-15,2026-08-11T10:35:10,28,20
bilbao,48020,2026-08-16,2026-08-11T10:35:10,26,19
bilbao,48020,2026-08-17,2026-08-11T10:35:10,27,19
zaragoza,50297,2026-08-11,2026-08-11T10:35:10,38,23
zaragoza,50297,2026-08-12,2026-08-11T10:35:10,40,24
zaragoza,50297,2026-08-13,2026-08-11T10:35:10,41,24
zaragoza,50297,2026-08-14,2026-08-11T10:35:10,39,25
zaragoza,50297,2026-08-15,2026-08-11T10:35:10,33,22
zaragoza,50297,2026-08-16,2026-08-11T10:35:10,31,20
zaragoza,50297,2026-08-17,2026-08-11T10:35:10,29,19
