datetime_utc,precio_francia
2026-08-02 22:00:00+00:00,150.99
2026-08-02 22:15:00+00:00,146.65
2026-08-02 22:30:00+00:00,141.53
2026-08-02 22:45:00+00:00,138.43
2026-08-02 23:00:00+00:00,141.78
2026-08-02 23:15:00+00:00,137.83
2026-08-02 23:30:00+00:00,138.67
2026-08-02 23:45:00+00:00,135.76
2026-08-03 00:00:00+00:00,136.79
2026-08-03 00:15:00+00:00,134.91
2026-08-03 00:30:00+00:00,134.05
2026-08-03 00:45:00+00:00,133.34
2026-08-03 01:00:00+00:00,130.07
2026-08-03 01:15:00+00:00,129.14
2026-08-03 01:30:00+00:00,131.47
2026-08-03 01:45:00+00:00,133.25
2026-08-03 02:00:00+00:00,128.57
2026-08-03 02:15:00+00:00,131.02
2026-08-03 02:30:00+00:00,133.37
2026-08-03 02:45:00+00:00,137.19
2026-08-03 03:00:00+00:00,122.92
2026-08-03 03:15:00+00:00,136.63
2026-08-03 03:30:00+00:00,144.16
2026-08-03 03:45:00+00:00,151.13
2026-08-03 04:00:00+00:00,142.23
2026-08-03 04:15:00+00:00,158.26
2026-08-03 04:30:00+00:00,148.97
2026-08-03 04:45:00+00:00,148.13
2026-08-03 05:00:00+00:00,159.31
2026-08-03 05:15:00+00:00,162.5
2026-08-03 05:30:00+00:00,161.83
2026-08-03 05:45:00+00:00,155.63
2026-08-03 06:00:00+00:00,167.27
2026-08-03 06:15:00+00:00,156.95
2026-08-03 06:30:00+00:00,150.23
2026-08-03 06:45:00+00:00,125.55
2026-08-03 07:00:00+00:00,163.11
2026-08-03 07:15:00+00:00,134.68
2026-08-03 07:30:00+00:00,129.62
2026-08-03 07:45:00+00:00,124.91
2026-08-03 08:00:00+00:00,136.32
2026-08-03 08:15:00+00:00,123.52
2026-08-03 08:30:00+00:00,113.72
2026-08-03 08:45:00+00:00,91.12
2026-08-03 09:00:00+00:00,101.05
2026-08-03 09:15:00+00:00,101.8
2026-08-03 09:30:00+00:00,99.88
2026-08-03 09:45:00+00:00,92.84
2026-08-03 10:00:00+00:00,98.19
2026-08-03 10:15:00+00:00,94.15
2026-08-03 10:30:00+00:00,76.19
2026-08-03 10:45:00+00:00,34.26
2026-08-03 11:00:00+00:00,77.5
2026-08-03 11:15:00+00:00,53.96
2026-08-03 11:30:00+00:00,27.99
2026-08-03 11:45:00+00:00,29.51
2026-08-03 12:00:00+00:00,51.33
2026-08-03 12:15:00+00:00,45.87
2026-08-03 12:30:00+00:00,63.42
2026-08-03 12:45:00+00:00,75.0
2026-08-03 13:00:00+00:00,80.2
2026-08-03 13:15:00+00:00,80.04
2026-08-03 13:30:00+00:00,82.4
2026-08-03 13:45:00+00:00,85.2
2026-08-03 14:00:00+00:00,88.22
2026-08-03 14:15:00+00:00,96.86
2026-08-03 14:30:00+00:00,110.23
2026-08-03 14:45:00+00:00,124.69
2026-08-03 15:00:00+00:00,116.67
2026-08-03 15:15:00+00:00,124.63
2026-08-03 15:30:00+00:00,144.57
2026-08-03 15:45:00+00:00,163.85
2026-08-03 16:00:00+00:00,115.27
2026-08-03 16:15:00+00:00,151.65
2026-08-03 16:30:00+00:00,151.54
2026-08-03 16:45:00+00:00,181.52
2026-08-03 17:00:00+00:00,141.5
2026-08-03 17:15:00+00:00,178.34
2026-08-03 17:30:00+00:00,182.4
2026-08-03 17:45:00+00:00,196.68
2026-08-03 18:00:00+00:00,173.15
2026-08-03 18:15:00+00:00,183.36
2026-08-03 18:30:00+00:00,190.6
2026-08-03 18:45:00+00:00,201.97
2026-08-03 19:00:00+00:00,197.61
2026-08-03 19:15:00+00:00,189.77
2026-08-03 19:30:00+00:00,184.94
2026-08-03 19:45:00+00:00,173.2
2026-08-03 20:00:00+00:00,187.15
2026-08-03 20:15:00+00:00,178.66
2026-08-03 20:30:00+00:00,175.67
2026-08-03 20:45:00+00:00,167.61
2026-08-03 21:00:00+00:00,168.91
2026-08-03 21:15:00+00:00,162.03
2026-08-03 21:30:00+00:00,157.86
2026-08-03 21:45:00+00:00,148.63
2026-08-03 22:00:00+00:00,171.23
2026-08-03 22:15:00+00:00,154.76
