Trading day,Product,Place of delivery,Area,First Day Delivery,Last Day Delivery,"Reference Price
[EUR/MWh]","Auction Price
[EUR/MWh]","Last Price
[EUR/MWh]","Bid
[EUR/MWh]","Ask
[EUR/MWh]",Source,"Maximum Price
[EUR/MWh]","Minimum Price
[EUR/MWh]","Price difference between purchases and sales
[%]",Auction Volume Traded [MWh],OTC Volume Registered [MWh],"Volume Traded
[MWh]"
2026-08-11,GDAES_D+1,PVB,ES,2026-08-12,2026-08-12,,60.58,,,,,,,,64782.0,0,
2026-08-11,GDAES_D+2,PVB,ES,2026-08-13,2026-08-13,,61.37,,,,,,,,500.0,0,
2026-08-11,GDAES_D+3,PVB,ES,2026-08-14,2026-08-14,,61.49,,,,,,,,100.0,0,
2026-08-10,GDAES_D+1,PVB,ES,2026-08-11,2026-08-11,59.23,57.32,60.44,60.4,60.54,M,61.8,57.32,0.45,52088.0,0,369204.0
2026-08-10,GDAES_D+2,PVB,ES,2026-08-12,2026-08-12,58.18,,59.26,58.51,60.0,M,58.75,57.0,2.64,0.0,0,9697.0
2026-08-10,GDAES_D+3,PVB,ES,2026-08-13,2026-08-13,58.15,,59.26,58.51,60.0,M,58.25,58.0,2.85,0.0,0,8597.0
2026-08-09,GDAES_D+1,PVB,ES,2026-08-10,2026-08-10,55.69,54.81,56.62,56.24,56.64,M,56.75,54.81,0.4,32188.0,0,94660.0
2026-08-09,GDAES_D+2,PVB,ES,2026-08-11,2026-08-11,56.31,,56.5,56.0,56.99,M,56.99,56.0,3.59,0.0,0,1597.0
2026-08-09,GDAES_D+3,PVB,ES,2026-08-12,2026-08-12,56.0,,56.5,56.0,56.99,M,56.0,56.0,5.5,0.0,0,1000.0
2026-08-08,GDAES_D+1,PVB,ES,2026-08-09,2026-08-09,55.37,54.98,55.95,55.73,56.02,M,56.2,54.8,0.57,23673.0,0,69903.0
