ciudad,municipio,fecha_prevista,elaborado,tmax,tmin,hr_max,hr_min,sens_max,sens_min,uv_max,viento_velocidad,viento_direccion,racha_max,estado_cielo,estado_cielo_desc,prob_precipitacion
madrid,28079,2026-08-14,2026-08-15T05:47:14,38,23,40,20,38,23,,0,,,,,0
madrid,28079,2026-08-15,2026-08-15T05:47:14,32,20,70,25,32,21,8.0,15,SE,,24,Nuboso con lluvia,100
madrid,28079,2026-08-16,2026-08-15T05:47:14,34,19,75,20,34,19,7.0,5,N,,11,Despejado,0
madrid,28079,2026-08-17,2026-08-15T05:47:14,36,21,60,15,36,21,8.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-08-18,2026-08-15T05:47:14,38,23,45,15,38,23,8.0,0,C,,12,Poco nuboso,0
madrid,28079,2026-08-19,2026-08-15T05:47:14,36,24,35,25,36,24,8.0,15,SO,,13,Intervalos nubosos,35
madrid,28079,2026-08-20,2026-08-15T05:47:14,28,19,65,35,28,19,,15,S,,43,Intervalos nubosos con lluvia escasa,60
barcelona,08019,2026-08-14,2026-08-15T05:47:14,35,26,55,45,35,26,,0,,,,,0
barcelona,08019,2026-08-15,2026-08-15T05:47:14,33,26,75,35,39,27,8.0,10,E,,13,Intervalos nubosos,45
barcelona,08019,2026-08-16,2026-08-15T05:47:14,33,26,75,35,33,26,7.0,15,S,,43,Intervalos nubosos con lluvia escasa,90
barcelona,08019,2026-08-17,2026-08-15T05:47:14,33,26,80,55,33,26,7.0,10,SE,,43,Intervalos nubosos con lluvia escasa,70
barcelona,08019,2026-08-18,2026-08-15T05:47:14,33,25,85,50,33,25,8.0,10,SE,,13,Intervalos nubosos,35
barcelona,08019,2026-08-19,2026-08-15T05:47:14,33,26,70,55,33,26,8.0,15,SE,,13,Intervalos nubosos,20
barcelona,08019,2026-08-20,2026-08-15T05:47:14,32,27,75,45,32,27,,15,E,,13,Intervalos nubosos,45
valencia,46250,2026-08-14,2026-08-15T05:47:14,34,25,80,60,34,25,,0,,,,,0
valencia,46250,2026-08-15,2026-08-15T05:47:14,33,25,95,35,38,26,8.0,10,NE,,23,Intervalos nubosos con lluvia,90
valencia,46250,2026-08-16,2026-08-15T05:47:14,32,24,85,45,33,23,8.0,10,E,,11,Despejado,0
valencia,46250,2026-08-17,2026-08-15T05:47:14,34,24,80,40,34,24,8.0,10,SE,,12,Poco nuboso,0
valencia,46250,2026-08-18,2026-08-15T05:47:14,34,24,70,40,34,24,8.0,10,E,,11,Despejado,0
valencia,46250,2026-08-19,2026-08-15T05:47:14,34,24,65,40,34,24,8.0,10,E,,13,Intervalos nubosos,20
valencia,46250,2026-08-20,2026-08-15T05:47:14,33,25,75,65,33,25,,10,E,,43,Intervalos nubosos con lluvia escasa,55
sevilla,41091,2026-08-14,2026-08-15T05:47:14,40,23,70,30,40,23,,0,,,,,0
