datetime,datetime_utc,value,geo_id
2026-09-15T00:00:00.000+02:00,2026-09-14T22:00:00Z,227.24,3
2026-09-15T00:15:00.000+02:00,2026-09-14T22:15:00Z,226.75,3
2026-09-15T00:30:00.000+02:00,2026-09-14T22:30:00Z,225.01,3
2026-09-15T00:45:00.000+02:00,2026-09-14T22:45:00Z,224.0,3
2026-09-15T01:00:00.000+02:00,2026-09-14T23:00:00Z,225.0,3
2026-09-15T01:15:00.000+02:00,2026-09-14T23:15:00Z,219.62,3
2026-09-15T01:30:00.000+02:00,2026-09-14T23:30:00Z,219.49,3
2026-09-15T01:45:00.000+02:00,2026-09-14T23:45:00Z,215.76,3
2026-09-15T02:00:00.000+02:00,2026-09-15T00:00:00Z,215.76,3
2026-09-15T02:15:00.000+02:00,2026-09-15T00:15:00Z,214.18,3
2026-09-15T02:30:00.000+02:00,2026-09-15T00:30:00Z,214.12,3
2026-09-15T02:45:00.000+02:00,2026-09-15T00:45:00Z,214.03,3
2026-09-15T03:00:00.000+02:00,2026-09-15T01:00:00Z,214.18,3
2026-09-15T03:15:00.000+02:00,2026-09-15T01:15:00Z,214.12,3
2026-09-15T03:30:00.000+02:00,2026-09-15T01:30:00Z,214.12,3
2026-09-15T03:45:00.000+02:00,2026-09-15T01:45:00Z,214.12,3
2026-09-15T04:00:00.000+02:00,2026-09-15T02:00:00Z,213.18,3
2026-09-15T04:15:00.000+02:00,2026-09-15T02:15:00Z,213.18,3
2026-09-15T04:30:00.000+02:00,2026-09-15T02:30:00Z,213.18,3
2026-09-15T04:45:00.000+02:00,2026-09-15T02:45:00Z,213.18,3
2026-09-15T05:00:00.000+02:00,2026-09-15T03:00:00Z,212.24,3
2026-09-15T05:15:00.000+02:00,2026-09-15T03:15:00Z,212.6,3
2026-09-15T05:30:00.000+02:00,2026-09-15T03:30:00Z,213.18,3
2026-09-15T05:45:00.000+02:00,2026-09-15T03:45:00Z,216.62,3
2026-09-15T06:00:00.000+02:00,2026-09-15T04:00:00Z,223.38,3
2026-09-15T06:15:00.000+02:00,2026-09-15T04:15:00Z,231.2,3
2026-09-15T06:30:00.000+02:00,2026-09-15T04:30:00Z,233.99,3
2026-09-15T06:45:00.000+02:00,2026-09-15T04:45:00Z,246.0,3
2026-09-15T07:00:00.000+02:00,2026-09-15T05:00:00Z,231.98,3
2026-09-15T07:15:00.000+02:00,2026-09-15T05:15:00Z,237.27,3
2026-09-15T07:30:00.000+02:00,2026-09-15T05:30:00Z,248.81,3
2026-09-15T07:45:00.000+02:00,2026-09-15T05:45:00Z,243.78,3
2026-09-15T08:00:00.000+02:00,2026-09-15T06:00:00Z,268.06,3
2026-09-15T08:15:00.000+02:00,2026-09-15T06:15:00Z,241.51,3
2026-09-15T08:30:00.000+02:00,2026-09-15T06:30:00Z,225.01,3
2026-09-15T08:45:00.000+02:00,2026-09-15T06:45:00Z,197.87,3
2026-09-15T09:00:00.000+02:00,2026-09-15T07:00:00Z,227.5,3
2026-09-15T09:15:00.000+02:00,2026-09-15T07:15:00Z,212.6,3
2026-09-15T09:30:00.000+02:00,2026-09-15T07:30:00Z,189.72,3
2026-09-15T09:45:00.000+02:00,2026-09-15T07:45:00Z,158.99,3
2026-09-15T10:00:00.000+02:00,2026-09-15T08:00:00Z,171.75,3
2026-09-15T10:15:00.000+02:00,2026-09-15T08:15:00Z,129.0,3
2026-09-15T10:30:00.000+02:00,2026-09-15T08:30:00Z,128.03,3
2026-09-15T10:45:00.000+02:00,2026-09-15T08:45:00Z,112.06,3
2026-09-15T11:00:00.000+02:00,2026-09-15T09:00:00Z,95.4,3
2026-09-15T11:15:00.000+02:00,2026-09-15T09:15:00Z,89.65,3
2026-09-15T11:30:00.000+02:00,2026-09-15T09:30:00Z,85.0,3
2026-09-15T11:45:00.000+02:00,2026-09-15T09:45:00Z,71.19,3
2026-09-15T12:00:00.000+02:00,2026-09-15T10:00:00Z,69.01,3
2026-09-15T12:15:00.000+02:00,2026-09-15T10:15:00Z,54.98,3
2026-09-15T12:30:00.000+02:00,2026-09-15T10:30:00Z,50.01,3
2026-09-15T12:45:00.000+02:00,2026-09-15T10:45:00Z,50.0,3
2026-09-15T13:00:00.000+02:00,2026-09-15T11:00:00Z,40.35,3
2026-09-15T13:15:00.000+02:00,2026-09-15T11:15:00Z,38.99,3
2026-09-15T13:30:00.000+02:00,2026-09-15T11:30:00Z,38.55,3
2026-09-15T13:45:00.000+02:00,2026-09-15T11:45:00Z,35.67,3
2026-09-15T14:00:00.000+02:00,2026-09-15T12:00:00Z,48.0,3
2026-09-15T14:15:00.000+02:00,2026-09-15T12:15:00Z,50.01,3
2026-09-15T14:30:00.000+02:00,2026-09-15T12:30:00Z,50.08,3
2026-09-15T14:45:00.000+02:00,2026-09-15T12:45:00Z,51.0,3
2026-09-15T15:00:00.000+02:00,2026-09-15T13:00:00Z,61.65,3
2026-09-15T15:15:00.000+02:00,2026-09-15T13:15:00Z,59.41,3
2026-09-15T15:30:00.000+02:00,2026-09-15T13:30:00Z,50.01,3
2026-09-15T15:45:00.000+02:00,2026-09-15T13:45:00Z,50.0,3
2026-09-15T16:00:00.000+02:00,2026-09-15T14:00:00Z,55.94,3
2026-09-15T16:15:00.000+02:00,2026-09-15T14:15:00Z,65.0,3
2026-09-15T16:30:00.000+02:00,2026-09-15T14:30:00Z,75.0,3
2026-09-15T16:45:00.000+02:00,2026-09-15T14:45:00Z,84.25,3
2026-09-15T17:00:00.000+02:00,2026-09-15T15:00:00Z,89.9,3
2026-09-15T17:15:00.000+02:00,2026-09-15T15:15:00Z,95.0,3
