fuente,desde,hasta,capturas
aemet_prediccion_horaria,2026-08-11-1132,2026-08-14-0112,57
aemet_prediccion_periodos,2026-08-11-1132,2026-08-14-0112,57
esios_602_energia_casada_diario,2026-08-11-1132,2026-08-13-1038,46
esios_capacidad_instalada,2026-08-11-1132,2026-09-10-0550,424
mibgas_curva,2026-08-11-1132,2026-09-09-1451,430
sendeco2_eua,2026-08-11-1132,2026-09-09-1517,431
aemet_prediccion_diaria,2026-08-11-1143,2026-08-11-1143,1
aemet_prediccion_diaria,2026-08-11-2053,2026-08-12-0715,3
aemet_prediccion_diaria,2026-08-12-1007,2026-08-12-1750,9
aemet_prediccion_diaria,2026-08-12-1950,2026-08-14-0112,26
aemet_prediccion_diaria,2026-08-14-0721,2026-08-14-0721,1
aemet_prediccion_horaria,2026-08-14-0721,2026-08-14-0721,1
aemet_prediccion_periodos,2026-08-14-0721,2026-08-14-0721,1
aemet_prediccion_diaria,2026-08-14-1150,2026-08-16-0201,25
aemet_prediccion_horaria,2026-08-14-1150,2026-08-16-0201,25
aemet_prediccion_periodos,2026-08-14-1150,2026-08-16-0201,25
aemet_prediccion_diaria,2026-08-16-0550,2026-08-17-0200,16
aemet_prediccion_horaria,2026-08-16-0550,2026-08-17-0200,16
aemet_prediccion_periodos,2026-08-16-0550,2026-08-17-0200,16
aemet_prediccion_diaria,2026-08-17-0550,2026-08-17-1005,3
aemet_prediccion_horaria,2026-08-17-0550,2026-08-17-1005,3
aemet_prediccion_periodos,2026-08-17-0550,2026-08-17-1005,3
aemet_prediccion_diaria,2026-08-17-1349,2026-08-21-0149,36
aemet_prediccion_horaria,2026-08-17-1349,2026-08-21-0149,36
aemet_prediccion_periodos,2026-08-17-1349,2026-08-21-0149,36
entsoe_A65_prev_demanda_es,2026-08-17-1958,2026-08-17-1958,1
entsoe_A44_precio_es,2026-08-20-2158,2026-08-20-2158,1
aemet_prediccion_diaria,2026-08-21-0550,2026-08-23-0201,28
aemet_prediccion_horaria,2026-08-21-0550,2026-08-23-0201,28
aemet_prediccion_periodos,2026-08-21-0550,2026-08-23-0201,28
aemet_prediccion_diaria,2026-08-23-0550,2026-08-24-0201,15
aemet_prediccion_horaria,2026-08-23-0550,2026-08-24-0201,15
aemet_prediccion_periodos,2026-08-23-0550,2026-08-24-0201,15
aemet_prediccion_diaria,2026-08-24-0550,2026-08-24-0755,2
aemet_prediccion_horaria,2026-08-24-0550,2026-08-24-0755,2
aemet_prediccion_periodos,2026-08-24-0550,2026-08-24-0755,2
aemet_prediccion_diaria,2026-08-24-1150,2026-08-25-1357,13
aemet_prediccion_horaria,2026-08-24-1150,2026-08-25-1357,13
aemet_prediccion_periodos,2026-08-24-1150,2026-08-25-1357,13
aemet_prediccion_diaria,2026-08-25-1751,2026-08-26-0058,5
aemet_prediccion_horaria,2026-08-25-1751,2026-08-26-0058,5
aemet_prediccion_periodos,2026-08-25-1751,2026-08-26-0058,5
aemet_prediccion_diaria,2026-08-26-0550,2026-08-26-1359,5
aemet_prediccion_horaria,2026-08-26-0550,2026-08-26-1359,5
aemet_prediccion_periodos,2026-08-26-0550,2026-08-26-1359,5
aemet_prediccion_diaria,2026-08-26-1837,2026-08-26-1837,1
aemet_prediccion_horaria,2026-08-26-1837,2026-08-26-1837,1
aemet_prediccion_periodos,2026-08-26-1837,2026-08-26-1837,1
aemet_prediccion_diaria,2026-08-28-0329,2026-08-28-0329,1
aemet_prediccion_horaria,2026-08-28-0329,2026-08-28-0329,1
aemet_prediccion_periodos,2026-08-28-0329,2026-08-28-0329,1
aemet_prediccion_diaria,2026-08-28-2136,2026-08-28-2217,3
aemet_prediccion_horaria,2026-08-28-2136,2026-08-28-2217,3
aemet_prediccion_periodos,2026-08-28-2136,2026-08-28-2217,3
entsoe_A65_prev_demanda_es,2026-08-30-1450,2026-08-30-1450,1
entsoe_A69_prev_renovable_es,2026-08-30-1450,2026-08-30-1450,1
entsoe_A72_reserva_hidraulica,2026-08-30-1750,2026-09-02-1751,25
entsoe_A44_precio_es,2026-08-30-2051,2026-09-02-1751,24
entsoe_A44_precio_francia,2026-08-30-2051,2026-09-02-1751,24
entsoe_A65_prev_demanda_es,2026-08-30-2350,2026-09-02-1751,23
entsoe_A69_prev_renovable_es,2026-08-30-2350,2026-09-02-1751,23
aemet_prediccion_diaria,2026-09-03-2107,2026-09-03-2107,1
aemet_prediccion_horaria,2026-09-03-2107,2026-09-03-2107,1
aemet_prediccion_periodos,2026-09-03-2107,2026-09-03-2107,1
aemet_prediccion_diaria,2026-09-06-2142,2026-09-06-2157,2
aemet_prediccion_horaria,2026-09-06-2142,2026-09-06-2157,2
aemet_prediccion_periodos,2026-09-06-2142,2026-09-06-2157,2
entsoe_A44_precio_es,2026-09-07-1751,2026-09-08-1751,10
entsoe_A44_precio_francia,2026-09-07-1751,2026-09-08-1751,10
entsoe_A65_prev_demanda_es,2026-09-07-1751,2026-09-08-1751,10
entsoe_A69_prev_renovable_es,2026-09-07-1751,2026-09-08-1751,10
entsoe_A72_reserva_hidraulica,2026-09-07-1751,2026-09-08-1751,10
aemet_prediccion_diaria,2026-09-07-2050,2026-09-07-2050,1
aemet_prediccion_horaria,2026-09-07-2050,2026-09-07-2050,1
aemet_prediccion_periodos,2026-09-07-2050,2026-09-07-2050,1
entsoe_A44_precio_es,2026-09-09-1151,2026-09-09-1151,1
entsoe_A69_prev_renovable_es,2026-09-09-1151,2026-09-09-1151,1
entsoe_A72_reserva_hidraulica,2026-09-09-1151,2026-09-09-1151,1
aemet_prediccion_diaria,2026-09-09-1517,2026-09-09-1619,2
aemet_prediccion_horaria,2026-09-09-1517,2026-09-09-1619,2
aemet_prediccion_periodos,2026-09-09-1517,2026-09-09-1619,2
entsoe_A44_precio_francia,2026-09-09-1619,2026-09-09-1619,1
entsoe_A69_prev_renovable_es,2026-09-09-1619,2026-09-09-1619,1
entsoe_A72_reserva_hidraulica,2026-09-09-1619,2026-09-09-1619,1
