captura,fuente,motivo
2026-08-13-0050,aemet_prediccion_horaria,ausente
2026-08-13-0050,aemet_prediccion_periodos,ausente
2026-08-13-0050,esios_602_energia_casada_diario,ausente
2026-08-13-0050,esios_capacidad_instalada,ausente
2026-08-13-0050,mibgas_curva,ausente
2026-08-13-0050,sendeco2_eua,ausente
2026-08-13-0112,aemet_prediccion_diaria,ausente
2026-08-13-0112,aemet_prediccion_horaria,ausente
2026-08-13-0112,aemet_prediccion_periodos,ausente
2026-08-13-0112,esios_602_energia_casada_diario,ausente
2026-08-13-0112,esios_capacidad_instalada,ausente
2026-08-13-0112,mibgas_curva,ausente
2026-08-13-0112,sendeco2_eua,ausente
2026-08-13-0150,aemet_prediccion_diaria,ausente
2026-08-13-0150,aemet_prediccion_horaria,ausente
2026-08-13-0150,aemet_prediccion_periodos,ausente
2026-08-13-0150,esios_602_energia_casada_diario,ausente
2026-08-13-0150,esios_capacidad_instalada,ausente
2026-08-13-0150,mibgas_curva,ausente
2026-08-13-0150,sendeco2_eua,ausente
2026-08-13-0250,aemet_prediccion_diaria,ausente
2026-08-13-0250,aemet_prediccion_horaria,ausente
2026-08-13-0250,aemet_prediccion_periodos,ausente
2026-08-13-0250,esios_602_energia_casada_diario,ausente
2026-08-13-0250,esios_capacidad_instalada,ausente
2026-08-13-0250,mibgas_curva,ausente
2026-08-13-0250,sendeco2_eua,ausente
2026-08-13-0350,aemet_prediccion_horaria,ausente
2026-08-13-0350,aemet_prediccion_periodos,ausente
2026-08-13-0350,esios_602_energia_casada_diario,ausente
2026-08-13-0350,esios_capacidad_instalada,ausente
2026-08-13-0350,mibgas_curva,ausente
2026-08-13-0350,sendeco2_eua,ausente
2026-08-13-0450,aemet_prediccion_diaria,ausente
2026-08-13-0450,aemet_prediccion_horaria,ausente
2026-08-13-0450,aemet_prediccion_periodos,ausente
2026-08-13-0450,esios_602_energia_casada_diario,ausente
2026-08-13-0450,esios_capacidad_instalada,ausente
2026-08-13-0450,mibgas_curva,ausente
2026-08-13-0450,sendeco2_eua,ausente
2026-08-13-0550,aemet_prediccion_diaria,ausente
2026-08-13-0550,aemet_prediccion_horaria,ausente
2026-08-13-0550,aemet_prediccion_periodos,ausente
2026-08-13-0550,esios_602_energia_casada_diario,ausente
2026-08-13-0550,esios_capacidad_instalada,ausente
2026-08-13-0550,mibgas_curva,ausente
2026-08-13-0550,sendeco2_eua,ausente
2026-08-13-0650,aemet_prediccion_diaria,ausente
