fecha,hora,ejecucion_madrid,ejecucion_utc,version,modo,disparo,ok,vacio,fallo,omitida,parcial,kb_total,ruta,run_id
2026-08-11,1132,2026-08-11T11:32:48+02:00,2026-08-11T09:32:48+00:00,v3,,,13,0,1,,,349.6,archivo/2026/08/2026-08-11/1132,
2026-08-11,1143,2026-08-11T11:43:07+02:00,2026-08-11T09:43:07+00:00,v3,,,12,0,1,,,347.8,archivo/2026/08/2026-08-11/1143,
2026-08-11,1312,2026-08-11T13:12:37+02:00,2026-08-11T11:12:37+00:00,v3,,,13,0,0,,,356.0,archivo/2026/08/2026-08-11/1312,
2026-08-11,1403,2026-08-11T14:03:12+02:00,2026-08-11T12:03:12+00:00,v3,,,13,0,0,,,356.5,archivo/2026/08/2026-08-11/1403,
2026-08-11,1810,2026-08-11T18:10:43+02:00,2026-08-11T16:10:43+00:00,v3,,,13,0,0,,,399.9,archivo/2026/08/2026-08-11/1810,
2026-08-11,2053,2026-08-11T20:53:22+02:00,2026-08-11T18:53:22+00:00,v3.1,,,12,0,0,1,,513.9,archivo/2026/08/2026-08-11/2053,
2026-08-11,2125,2026-08-11T21:25:16+02:00,2026-08-11T19:25:16+00:00,v3.1,,,13,0,0,0,,516.2,archivo/2026/08/2026-08-11/2125,
2026-08-11,2232,2026-08-11T22:32:55+02:00,2026-08-11T20:32:55+00:00,v3.3,completo,,12,0,0,1,0,1923.7,archivo/2026/08/2026-08-11/2232,
2026-08-12,0012,2026-08-12T00:12:50+02:00,2026-08-11T22:12:50+00:00,v3.3,completo,,13,0,0,0,0,1638.8,archivo/2026/08/2026-08-12/0012,
2026-08-12,0715,2026-08-12T07:15:57+02:00,2026-08-12T05:15:57+00:00,v3.3,ligero,,12,0,0,1,0,301.6,archivo/2026/08/2026-08-12/0715,
2026-08-12,0900,2026-08-12T09:00:34+02:00,2026-08-12T07:00:34+00:00,v3.3,ligero,,13,0,1,0,0,304.0,archivo/2026/08/2026-08-12/0900,
2026-08-12,0953,2026-08-12T09:53:26+02:00,2026-08-12T07:53:26+00:00,v3.3,ligero,,13,0,0,0,0,304.8,archivo/2026/08/2026-08-12/0953,
2026-08-12,1007,2026-08-12T10:07:57+02:00,2026-08-12T08:07:57+00:00,v3.3,ligero,,12,0,0,1,0,302.7,archivo/2026/08/2026-08-12/1007,
2026-08-12,1050,2026-08-12T10:50:47+02:00,2026-08-12T08:50:47+00:00,v3.3,ligero,,12,0,0,1,0,302.7,archivo/2026/08/2026-08-12/1050,
2026-08-12,1145,2026-08-12T11:45:04+02:00,2026-08-12T09:45:04+00:00,v3.3,ligero,,12,0,0,1,0,303.4,archivo/2026/08/2026-08-12/1145,
2026-08-12,1150,2026-08-12T11:50:52+02:00,2026-08-12T09:50:52+00:00,v3.3,ligero,,12,0,0,1,0,303.5,archivo/2026/08/2026-08-12/1150,
2026-08-12,1250,2026-08-12T12:50:55+02:00,2026-08-12T10:50:55+00:00,v3.3,ligero,,13,0,0,0,0,306.0,archivo/2026/08/2026-08-12/1250,
2026-08-12,1350,2026-08-12T13:50:48+02:00,2026-08-12T11:50:48+00:00,v3.3,ligero,,12,0,0,1,0,310.8,archivo/2026/08/2026-08-12/1350,
2026-08-12,1406,2026-08-12T14:06:06+02:00,2026-08-12T12:06:06+00:00,v3.3,ligero,,12,0,0,1,0,310.8,archivo/2026/08/2026-08-12/1406,
2026-08-12,1450,2026-08-12T14:50:48+02:00,2026-08-12T12:50:48+00:00,v3.3,ligero,,12,0,0,1,0,311.2,archivo/2026/08/2026-08-12/1450,
2026-08-12,1550,2026-08-12T15:50:56+02:00,2026-08-12T13:50:56+00:00,v3.3,ligero,,13,0,0,0,0,314.2,archivo/2026/08/2026-08-12/1550,
2026-08-12,1650,2026-08-12T16:50:53+02:00,2026-08-12T14:50:53+00:00,v3.3,ligero,,12,0,0,1,0,315.4,archivo/2026/08/2026-08-12/1650,
2026-08-12,1750,2026-08-12T17:50:50+02:00,2026-08-12T15:50:50+00:00,v3.3,ligero,,12,0,0,1,0,324.3,archivo/2026/08/2026-08-12/1750,
2026-08-12,1808,2026-08-12T18:08:13+02:00,2026-08-12T16:08:13+00:00,v3.3,ligero,,13,0,0,0,0,327.5,archivo/2026/08/2026-08-12/1808,
2026-08-12,1850,2026-08-12T18:50:45+02:00,2026-08-12T16:50:45+00:00,v3.3,ligero,,13,0,0,0,0,327.8,archivo/2026/08/2026-08-12/1850,
2026-08-12,1950,2026-08-12T19:50:58+02:00,2026-08-12T17:50:58+00:00,v3.3,ligero,,12,0,0,1,0,325.8,archivo/2026/08/2026-08-12/1950,
2026-08-12,2050,2026-08-12T20:50:47+02:00,2026-08-12T18:50:47+00:00,v3.3,ligero,,12,0,0,1,0,326.8,archivo/2026/08/2026-08-12/2050,
2026-08-12,2150,2026-08-12T21:50:47+02:00,2026-08-12T19:50:47+00:00,v3.3,ligero,,13,0,0,0,0,330.5,archivo/2026/08/2026-08-12/2150,
2026-08-12,2203,2026-08-12T22:03:54+02:00,2026-08-12T20:03:54+00:00,v3.3,ligero,,12,0,0,1,0,328.4,archivo/2026/08/2026-08-12/2203,
2026-08-12,2250,2026-08-12T22:50:49+02:00,2026-08-12T20:50:49+00:00,v3.3,ligero,,12,0,0,1,0,328.7,archivo/2026/08/2026-08-12/2250,
2026-08-12,2350,2026-08-12T23:50:52+02:00,2026-08-12T21:50:52+00:00,v3.3,ligero,,12,0,0,1,0,331.0,archivo/2026/08/2026-08-12/2350,
2026-08-13,0050,2026-08-13T00:50:51+02:00,2026-08-12T22:50:51+00:00,v3.3,completo,,13,0,0,0,0,1658.3,archivo/2026/08/2026-08-13/0050,
