captura,fuente,motivo
2026-09-08-1937,saih_duero_situacion_embalses.html,ausente
2026-09-08-1937,saih_ebro_aforos_cuenca.json,ausente
2026-09-08-1937,saih_ebro_volumenes_embalsados.json,ausente
2026-09-08-1937,saih_mino_sil_situacion_embalses.html,ausente
2026-09-08-1948,saih_duero_situacion_embalses.html,ausente
2026-09-08-1948,saih_ebro_aforos_cuenca.json,ausente
2026-09-08-1948,saih_ebro_volumenes_embalsados.json,ausente
2026-09-08-1948,saih_mino_sil_situacion_embalses.html,ausente
2026-09-08-1959,saih_duero_situacion_embalses.html,ausente
2026-09-08-1959,saih_ebro_aforos_cuenca.json,ausente
2026-09-08-1959,saih_ebro_volumenes_embalsados.json,ausente
2026-09-08-1959,saih_mino_sil_situacion_embalses.html,ausente
