fecha,hora,ejecucion_utc,ok,vacio,fallo,kb_total,ruta
2026-09-08,1937,2026-09-08T19:37:40.980889+00:00,0,0,2,0.0,archivo_saih/2026/09/2026-09-08
2026-09-08,1948,2026-09-08T19:48:12.974760+00:00,0,0,2,0.0,archivo_saih/2026/09/2026-09-08
2026-09-08,1959,2026-09-08T19:59:07.999671+00:00,0,0,2,0.0,archivo_saih/2026/09/2026-09-08
2026-09-09,0851,2026-09-09T08:51:06.902215+00:00,2,0,0,17.3,archivo_saih/2026/09/2026-09-09
2026-09-09,0851,2026-09-09T08:51:58.799481+00:00,2,0,0,17.3,archivo_saih/2026/09/2026-09-09
2026-09-09,0853,2026-09-09T08:53:02.298586+00:00,2,0,0,17.4,archivo_saih/2026/09/2026-09-09
2026-09-09,0902,2026-09-09T09:02:18.664039+00:00,0,0,2,0.0,archivo_saih/2026/09/2026-09-09
2026-09-09,0904,2026-09-09T09:04:26.337398+00:00,2,0,0,17.3,archivo_saih/2026/09/2026-09-09
2026-09-09,0934,2026-09-09T09:34:40.946780+00:00,4,0,0,34.1,archivo_saih/2026/09/2026-09-09
2026-09-09,1200,2026-09-09T12:00:03.031229+00:00,4,0,0,34.0,archivo_saih/2026/09/2026-09-09
2026-09-09,1800,2026-09-09T18:00:00.435760+00:00,4,0,0,34.0,archivo_saih/2026/09/2026-09-09
2026-09-10,0730,2026-09-10T07:30:02.022329+00:00,4,0,0,34.2,archivo_saih/2026/09/2026-09-10
2026-09-10,1200,2026-09-10T12:00:02.621683+00:00,4,0,0,34.0,archivo_saih/2026/09/2026-09-10
2026-09-10,1800,2026-09-10T18:00:01.904705+00:00,4,0,0,34.0,archivo_saih/2026/09/2026-09-10
